ID,Category,Image_ID,Equation,Solution_Steps,Sign_Language,Sign_Text,Sign_Translation,Anomaly_Type,Anomaly_Score,Timestamp,Camera_ID,Confidence_Score,Bounding_Box_X,Bounding_Box_Y,Bounding_Box_Width,Bounding_Box_Height,Blur_Level,Brightness_Level,Contrast_Level,Noise_Level,Label
20,Security Camera Anomalies,IMG_3535,,,,,,Normal,0.14,2024-01-01 00:19:00,28.0,0.58,391,476,121,162,0.28640101545790686,0.3728532629588057,0.9987858889072563,0.3295965803147972,Uncertain
21,Security Camera Anomalies,IMG_2708,,,,,,Unauthorized Access,0.98,2024-01-01 00:20:00,46.0,0.8,255,170,75,104,0.2065082707154926,0.5170711425948379,0.09598581807668172,0.10554527586565188,Correct
22,Handwritten Math Solutions,IMG_1030,x^2 + y^2 = 25,10.0,,,,,,2024-01-01 00:21:00,,0.82,399,183,109,89,0.3606426548339089,0.48354444109579997,0.18687332154686775,0.5490053222851828,Correct
23,Handwritten Math Solutions,IMG_5731,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 00:22:00,,0.69,74,255,174,150,0.24318269917407087,0.6886997201972362,0.48093116961317117,0.10260951392028272,Correct
24,Multi-lingual Street Signs,IMG_4114,,,English,No Entry,Limite de velocidad 50,,,2024-01-01 00:23:00,,0.99,305,142,191,195,0.05531360256243911,0.9364395460872429,0.2480792663137381,0.37895846754092,Uncertain
25,Security Camera Anomalies,IMG_1397,,,,,,Unauthorized Access,0.34,2024-01-01 00:24:00,48.0,0.95,351,352,69,179,0.31276754739580803,0.487849011077354,0.2462233274464516,0.004364822194279139,Correct
26,Multi-lingual Street Signs,IMG_4341,,,French,Stop,Limite de velocidad 50,,,2024-01-01 00:25:00,,0.65,135,51,193,84,0.5505043001519855,0.6869507958878392,0.023588863316655218,0.10308894521031309,Incorrect
27,Handwritten Math Solutions,IMG_2291,∫ x dx,7.0,,,,,,2024-01-01 00:26:00,,0.97,154,74,88,117,0.5480967336241562,0.8278628833217317,0.8658833990122106,0.2899813235386979,Uncertain
28,Security Camera Anomalies,IMG_5590,,,,,,Loitering,0.06,2024-01-01 00:27:00,12.0,0.64,261,291,167,53,0.495343551561494,0.41724509317281233,0.31821263928687926,0.17922946283587537,Correct
29,Handwritten Math Solutions,IMG_8802,Σ(n=1 to ∞) 1/n^2,9.0,,,,,,2024-01-01 00:28:00,,0.73,444,141,120,132,0.2791557315778088,0.5602603135663627,0.25931283174061226,0.8596349570574998,Uncertain
30,Security Camera Anomalies,IMG_2437,,,,,,Normal,0.57,2024-01-01 00:29:00,23.0,0.71,338,125,124,94,0.2098248992781584,0.32488038182239265,0.4874701383272032,0.4729655880049042,Uncertain
31,Handwritten Math Solutions,IMG_3334,∫ x dx,6.0,,,,,,2024-01-01 00:30:00,,0.88,103,265,93,180,0.61262029338654,0.4233095575596155,0.7216381367281244,0.8642750550242677,Uncertain
32,Handwritten Math Solutions,IMG_4296,∫ x dx,7.0,,,,,,2024-01-01 00:31:00,,0.78,71,176,158,142,0.12545794287081147,0.5972614354665589,0.29749176884511097,0.13654880598747232,Uncertain
33,Multi-lingual Street Signs,IMG_9539,,,Chinese,Yield,Cédez le passage,,,2024-01-01 00:32:00,,0.64,483,52,59,106,0.6765064559292515,0.17329708404609323,0.7041738647737517,0.6067937363004295,Correct
34,Multi-lingual Street Signs,IMG_6741,,,English,No Entry,禁止进入,,,2024-01-01 00:33:00,,0.77,338,268,136,191,0.9663096660906246,0.7226671705416216,0.6410995269499251,0.42415154974256086,Incorrect
35,Handwritten Math Solutions,IMG_6421,Σ(n=1 to ∞) 1/n^2,8.0,,,,,,2024-01-01 00:34:00,,0.96,263,80,54,104,0.6743710263372258,0.9270316502905311,0.1180037617131049,0.4072151443946608,Correct
36,Handwritten Math Solutions,IMG_8271,x^2 + y^2 = 25,4.0,,,,,,2024-01-01 00:35:00,,0.96,429,210,70,54,0.7111955371130391,0.4564524835194037,0.9286436824634873,0.2974935018109056,Uncertain
37,Security Camera Anomalies,IMG_5441,,,,,,Normal,0.65,2024-01-01 00:36:00,41.0,0.87,397,298,166,92,0.5726812691407628,0.2572602693966176,0.3397888289762817,0.6309789078109274,Uncertain
38,Multi-lingual Street Signs,IMG_7695,,,French,No Entry,Cédez le passage,,,2024-01-01 00:37:00,,0.53,126,48,65,173,0.5350124101513334,0.7914332486175466,0.054820918934185836,0.5182805923594824,Correct
39,Handwritten Math Solutions,IMG_9049,∫ x dx,2.0,,,,,,2024-01-01 00:38:00,,0.79,109,413,166,109,0.3930385001067904,0.6989198471928258,0.4629906675468948,0.20680105691602135,Correct
40,Security Camera Anomalies,IMG_4108,,,,,,Loitering,0.32,2024-01-01 00:39:00,40.0,0.68,349,329,142,105,0.12852621821579813,0.9869886455345319,0.04310756697342,0.12679505435048655,Incorrect
41,Handwritten Math Solutions,IMG_4831,x^2 + y^2 = 25,7.0,,,,,,2024-01-01 00:40:00,,0.87,305,165,199,152,0.06222749322179366,0.8722462135950831,0.42809821536564985,0.5146089524246392,Uncertain
42,Multi-lingual Street Signs,IMG_7570,,,Chinese,Yield,Alto,,,2024-01-01 00:41:00,,0.54,453,175,117,187,0.035832023535374735,0.668536540131781,0.4066878694364028,0.9451413833061972,Uncertain
43,Multi-lingual Street Signs,IMG_5895,,,Chinese,Yield,Alto,,,2024-01-01 00:42:00,,0.61,90,342,153,132,0.2234931271246312,0.2878098792527337,0.2702752085028979,0.3670898696699636,Correct
44,Handwritten Math Solutions,IMG_6040,x^2 + y^2 = 25,9.0,,,,,,2024-01-01 00:43:00,,0.84,167,180,55,159,0.17562872466879165,0.2774633114415803,0.06038572759261618,0.5960268368634165,Uncertain
45,Multi-lingual Street Signs,IMG_2912,,,Spanish,Yield,Cédez le passage,,,2024-01-01 00:44:00,,1.0,249,120,188,149,0.8503348274361519,0.38991552855168476,0.48344158088490696,0.980649261943042,Uncertain
46,Handwritten Math Solutions,IMG_6740,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 00:45:00,,0.51,46,401,177,197,0.7237004041245194,0.29590683260528117,0.75667555504971,0.1902270332618582,Correct
47,Multi-lingual Street Signs,IMG_5152,,,French,Yield,禁止进入,,,2024-01-01 00:46:00,,0.52,84,494,182,101,0.5518040394415524,0.7496271717568538,0.9493774768236654,0.006606197171000305,Uncertain
48,Handwritten Math Solutions,IMG_6666,∫ x dx,3.0,,,,,,2024-01-01 00:47:00,,0.67,5,292,102,58,0.12885734242317237,0.9414208451554628,0.07593649375068179,0.48238016250753835,Incorrect
49,Handwritten Math Solutions,IMG_2222,x^2 + y^2 = 25,8.0,,,,,,2024-01-01 00:48:00,,0.7,42,126,195,152,0.7808035206564061,0.6128914062851906,0.2460719102844744,0.8904572148250097,Incorrect
50,Security Camera Anomalies,IMG_9908,,,,,,Unauthorized Access,0.18,2024-01-01 00:49:00,29.0,0.98,184,95,144,80,0.5483334547233765,0.6159127811017167,0.6308256894374205,0.6529003688487556,Correct
51,Security Camera Anomalies,IMG_4438,,,,,,Unauthorized Access,0.96,2024-01-01 00:50:00,32.0,0.77,249,98,73,83,0.16709413707760812,0.3795925795997097,0.3492709860745593,0.9581465279292352,Correct
52,Security Camera Anomalies,IMG_9479,,,,,,Unauthorized Access,0.05,2024-01-01 00:51:00,13.0,0.9,408,228,84,68,0.977197293812917,0.5611723670322828,0.046034663309410084,0.4754260072091031,Correct
53,Handwritten Math Solutions,IMG_9636,Σ(n=1 to ∞) 1/n^2,6.0,,,,,,2024-01-01 00:52:00,,0.54,65,463,122,81,0.23747517164641552,0.4502060112801657,0.5097852246805503,0.4322857534240354,Uncertain
54,Security Camera Anomalies,IMG_8535,,,,,,Unauthorized Access,0.27,2024-01-01 00:53:00,20.0,0.85,491,399,157,149,0.8788832023531852,0.8328381167679105,0.5556265002671498,0.4846545709007546,Correct
55,Security Camera Anomalies,IMG_3937,,,,,,Loitering,0.07,2024-01-01 00:54:00,14.0,0.57,80,125,165,160,0.5311797568089957,0.5025791310609771,0.7363811605593984,0.1697439161828197,Incorrect
56,Multi-lingual Street Signs,IMG_4894,,,Spanish,Yield,Cédez le passage,,,2024-01-01 00:55:00,,0.69,467,65,87,180,0.2606734830547115,0.015510998549303823,0.5405621583737615,0.5581170390940436,Uncertain
57,Multi-lingual Street Signs,IMG_2559,,,Chinese,Speed Limit 50,Alto,,,2024-01-01 00:56:00,,0.54,189,166,161,88,0.32274575797928673,0.5836090464232448,0.3713265202369975,0.09253940254248416,Correct
58,Handwritten Math Solutions,IMG_4873,Σ(n=1 to ∞) 1/n^2,2.0,,,,,,2024-01-01 00:57:00,,0.81,452,418,135,200,0.32717724592638764,0.8205999096372556,0.2554179726810184,0.08509628903657962,Incorrect
59,Security Camera Anomalies,IMG_7339,,,,,,Unauthorized Access,0.72,2024-01-01 00:58:00,28.0,0.57,191,350,159,180,0.9174699234866173,0.4478124824554973,0.2925335091151724,0.13201715013650261,Incorrect
60,Multi-lingual Street Signs,IMG_7105,,,English,Stop,Cédez le passage,,,2024-01-01 00:59:00,,0.82,400,425,82,114,0.31776210522429327,0.2324636494331388,0.12917437868207904,0.9273163564378168,Uncertain
61,Security Camera Anomalies,IMG_2568,,,,,,Normal,0.49,2024-01-01 01:00:00,24.0,0.99,43,77,110,65,0.24478829069611074,0.08070846013253408,0.0800166755909325,0.8951523803298865,Incorrect
62,Multi-lingual Street Signs,IMG_8112,,,French,Stop,Cédez le passage,,,2024-01-01 01:01:00,,0.52,291,344,112,132,0.29694155264583233,0.6021738327921319,0.7511671745734355,0.10550292014830498,Incorrect
63,Handwritten Math Solutions,IMG_7301,∫ x dx,3.0,,,,,,2024-01-01 01:02:00,,0.83,299,433,89,136,0.6433158335885956,0.49575376082641953,0.42975413294282827,0.4030964181539163,Correct
64,Security Camera Anomalies,IMG_7865,,,,,,Normal,0.89,2024-01-01 01:03:00,13.0,0.8,72,284,149,148,0.4657620236881469,0.5203665785698867,0.6162850554671764,0.9411014493466158,Correct
65,Security Camera Anomalies,IMG_6379,,,,,,Unauthorized Access,0.07,2024-01-01 01:04:00,28.0,0.68,101,219,165,86,0.8670490249083503,0.37301681129033815,0.0006322123114860245,0.6227740549653359,Incorrect
66,Security Camera Anomalies,IMG_7812,,,,,,Unauthorized Access,0.76,2024-01-01 01:05:00,8.0,0.7,294,230,181,157,0.10582258942095146,0.6824082010864427,0.22804500611747958,0.9785676481492341,Incorrect
67,Security Camera Anomalies,IMG_9622,,,,,,Normal,0.51,2024-01-01 01:06:00,26.0,0.7,265,378,59,111,0.5279053756370474,0.8485138039142406,0.2102583214440239,0.3081624232411412,Uncertain
68,Handwritten Math Solutions,IMG_7107,Σ(n=1 to ∞) 1/n^2,3.0,,,,,,2024-01-01 01:07:00,,0.56,423,498,70,159,0.8920124352427876,0.3234705678009777,0.5721953796529943,0.9597704948221113,Incorrect
69,Multi-lingual Street Signs,IMG_1452,,,Chinese,Stop,Alto,,,2024-01-01 01:08:00,,0.89,243,436,179,176,0.7614834065254197,0.8768787952893913,0.5444929832427489,0.5499483709035805,Incorrect
70,Multi-lingual Street Signs,IMG_7792,,,French,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 01:09:00,,0.58,493,447,117,50,0.33697603599187953,0.7683510321793988,0.8924424338502533,0.5409662957169494,Uncertain
71,Multi-lingual Street Signs,IMG_2378,,,Spanish,No Entry,禁止进入,,,2024-01-01 01:10:00,,0.8,232,202,79,113,0.43408786560971735,0.7846857856309669,0.4696222017504157,0.4132343951284241,Uncertain
72,Handwritten Math Solutions,IMG_6300,x^2 + y^2 = 25,1.0,,,,,,2024-01-01 01:11:00,,0.52,470,146,122,144,0.39208185860055755,0.47606964698301646,0.6451606803579912,0.5413027261063835,Correct
73,Multi-lingual Street Signs,IMG_8563,,,Spanish,No Entry,禁止进入,,,2024-01-01 01:12:00,,0.62,115,52,180,53,0.7081344041034581,0.8400065998955011,0.8661209744156482,0.8067605465326302,Correct
74,Handwritten Math Solutions,IMG_8908,x^2 + y^2 = 25,1.0,,,,,,2024-01-01 01:13:00,,0.93,483,228,140,53,0.3820640062297447,0.21933630168222829,0.6158256047269186,0.27843571058154704,Incorrect
75,Handwritten Math Solutions,IMG_7468,Σ(n=1 to ∞) 1/n^2,10.0,,,,,,2024-01-01 01:14:00,,0.55,308,497,88,196,0.6782344838106276,0.6795581331870887,0.5506763685165843,0.22466674352800386,Correct
76,Multi-lingual Street Signs,IMG_8723,,,English,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 01:15:00,,0.79,441,423,182,66,0.605284006769112,0.8556378262293269,0.5138086175499179,0.2425409403651516,Incorrect
77,Security Camera Anomalies,IMG_8031,,,,,,Unauthorized Access,0.25,2024-01-01 01:16:00,12.0,0.57,240,216,186,79,0.8511127400981991,0.14868588794417936,0.8012993225640505,0.07635731408353408,Uncertain
78,Security Camera Anomalies,IMG_3498,,,,,,Unauthorized Access,0.64,2024-01-01 01:17:00,37.0,0.52,388,164,188,57,0.5705376002698358,0.35952103534846025,0.8176702401083884,0.7646039272685011,Correct
79,Handwritten Math Solutions,IMG_4683,∫ x dx,6.0,,,,,,2024-01-01 01:18:00,,0.9,424,497,142,172,0.9976779873262858,0.4066635433937724,0.4168733815711084,0.6905006854990342,Incorrect
80,Multi-lingual Street Signs,IMG_2154,,,English,Yield,Cédez le passage,,,2024-01-01 01:19:00,,0.67,209,300,170,198,0.569019093224377,0.4020852398934808,0.4038786803526142,0.5957300929307312,Uncertain
81,Multi-lingual Street Signs,IMG_8733,,,Chinese,Speed Limit 50,Cédez le passage,,,2024-01-01 01:20:00,,0.92,98,106,50,137,0.651432217718344,0.5682707018887178,0.8114014398322149,0.674917638444133,Correct
82,Handwritten Math Solutions,IMG_3792,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 01:21:00,,0.95,344,288,91,101,0.8864468745354878,0.6107562850094457,0.08061139178606858,0.13468998720216963,Correct
83,Multi-lingual Street Signs,IMG_2669,,,English,Speed Limit 50,Alto,,,2024-01-01 01:22:00,,0.7,262,375,93,124,0.5814861537120694,0.9155952833860325,0.44166028704919646,0.9268848469888492,Correct
84,Handwritten Math Solutions,IMG_2778,x^2 + y^2 = 25,6.0,,,,,,2024-01-01 01:23:00,,0.89,161,170,107,63,0.06914448633775083,0.7717127944469916,0.9789307248735006,0.26069926201920324,Incorrect
85,Security Camera Anomalies,IMG_6887,,,,,,Loitering,0.58,2024-01-01 01:24:00,22.0,0.51,79,148,94,63,0.33110541283710637,0.8186390103974248,0.29308166587124773,0.32274306410817655,Correct
86,Security Camera Anomalies,IMG_1448,,,,,,Unauthorized Access,0.0,2024-01-01 01:25:00,28.0,0.73,359,320,166,131,0.16765760071001867,0.8556141145102415,0.3104088859314087,0.0740177742390763,Correct
87,Multi-lingual Street Signs,IMG_1352,,,Chinese,Yield,Cédez le passage,,,2024-01-01 01:26:00,,0.86,177,65,187,53,0.04153803925080268,0.613349951869378,0.949839194097116,0.2944055223418681,Uncertain
88,Handwritten Math Solutions,IMG_3142,Σ(n=1 to ∞) 1/n^2,10.0,,,,,,2024-01-01 01:27:00,,0.99,20,302,145,125,0.4181697408648173,0.6621006019223158,0.8300582022992944,0.18633814287683115,Correct
89,Multi-lingual Street Signs,IMG_9765,,,Chinese,Yield,Cédez le passage,,,2024-01-01 01:28:00,,0.59,391,435,155,159,0.5912706170120574,0.19218293998609226,0.5336579559305956,0.5697100726751961,Uncertain
90,Handwritten Math Solutions,IMG_5549,Σ(n=1 to ∞) 1/n^2,4.0,,,,,,2024-01-01 01:29:00,,0.68,145,29,196,185,0.10995921501566197,0.7513667357182746,0.9052104575308999,0.48324354399584923,Incorrect
91,Security Camera Anomalies,IMG_1694,,,,,,Loitering,0.27,2024-01-01 01:30:00,7.0,0.59,496,328,57,67,0.11528556460832684,0.6251963129188882,0.6526138010428149,0.7300200627711452,Incorrect
92,Multi-lingual Street Signs,IMG_1526,,,English,Yield,Limite de velocidad 50,,,2024-01-01 01:31:00,,0.83,243,39,61,146,0.2029849613031448,0.5377402891986831,0.8446545187600738,0.5488621896971222,Uncertain
93,Security Camera Anomalies,IMG_5620,,,,,,Loitering,0.42,2024-01-01 01:32:00,36.0,0.51,271,307,55,100,0.06246497980058019,0.6396101731317719,0.47973635981904805,0.309254338787437,Incorrect
94,Handwritten Math Solutions,IMG_4615,∫ x dx,9.0,,,,,,2024-01-01 01:33:00,,0.66,329,227,166,95,0.5733341866186035,0.6940548637207464,0.984444822650655,0.1540239671613961,Incorrect
95,Security Camera Anomalies,IMG_3606,,,,,,Loitering,0.06,2024-01-01 01:34:00,39.0,0.96,396,44,142,191,0.2919627274276916,0.3853713986610038,0.6852061356927037,0.577016315202627,Uncertain
96,Multi-lingual Street Signs,IMG_1777,,,English,Stop,Limite de velocidad 50,,,2024-01-01 01:35:00,,0.8,196,95,73,129,0.8093361360499375,0.45071609163590887,0.24794598145338553,0.4885968340200393,Incorrect
97,Handwritten Math Solutions,IMG_6754,∫ x dx,7.0,,,,,,2024-01-01 01:36:00,,0.83,66,173,65,54,0.11051131116889046,0.42427660321117855,0.3201121352937055,0.6025912959909709,Uncertain
98,Handwritten Math Solutions,IMG_3260,∫ x dx,4.0,,,,,,2024-01-01 01:37:00,,0.89,442,34,167,103,0.6042076346890197,0.657503685074397,0.8969763709612373,0.7888514505821876,Incorrect
99,Multi-lingual Street Signs,IMG_8738,,,French,Stop,Alto,,,2024-01-01 01:38:00,,0.88,283,8,169,102,0.5904972881135634,0.7737677181786583,0.2256269034141981,0.19207070626223322,Uncertain
100,Multi-lingual Street Signs,IMG_8272,,,English,Speed Limit 50,禁止进入,,,2024-01-01 01:39:00,,0.66,95,362,117,132,0.20906878099268178,0.20584341279341667,0.2023866829236156,0.7297289324034197,Incorrect
101,Multi-lingual Street Signs,IMG_6359,,,English,Speed Limit 50,Limite de velocidad 50,,,2024-01-01 01:40:00,,0.74,328,67,68,125,0.2752507964110902,0.1713567093472933,0.8297561780430897,0.16950375291191466,Correct
102,Handwritten Math Solutions,IMG_2713,∫ x dx,4.0,,,,,,2024-01-01 01:41:00,,0.56,86,8,68,151,0.08263467246768275,0.36878177428849346,0.2671914545148978,0.7516298579311252,Correct
103,Security Camera Anomalies,IMG_3152,,,,,,Loitering,0.72,2024-01-01 01:42:00,32.0,0.82,389,490,153,112,0.8279061821489614,0.1961119123051831,0.665205984061631,0.21015686443428705,Correct
104,Handwritten Math Solutions,IMG_8424,∫ x dx,2.0,,,,,,2024-01-01 01:43:00,,0.56,471,344,141,134,0.3165968206596741,0.14571647872699178,0.41038256896880165,0.54128083343623,Correct
105,Multi-lingual Street Signs,IMG_7986,,,English,Yield,Cédez le passage,,,2024-01-01 01:44:00,,0.62,111,382,83,179,0.6507742425261046,0.9547827139646097,0.06783826088675493,0.14947860742156638,Uncertain
106,Handwritten Math Solutions,IMG_1530,x^2 + y^2 = 25,10.0,,,,,,2024-01-01 01:45:00,,0.78,30,63,57,94,0.765889224515401,0.5002761005534221,0.38108263843671775,0.3459603076339708,Incorrect
107,Multi-lingual Street Signs,IMG_9627,,,Spanish,Speed Limit 50,Cédez le passage,,,2024-01-01 01:46:00,,0.99,496,28,84,183,0.5120930411071838,0.7245266355159532,0.9028164358668582,0.5216602767857755,Correct
108,Handwritten Math Solutions,IMG_7489,Σ(n=1 to ∞) 1/n^2,8.0,,,,,,2024-01-01 01:47:00,,0.75,450,362,174,101,0.806798163626608,0.5929491351364541,0.8694878268691442,0.7662088304311315,Uncertain
109,Handwritten Math Solutions,IMG_8567,∫ x dx,5.0,,,,,,2024-01-01 01:48:00,,0.95,186,25,62,73,0.05287713312530273,0.3717748199252233,0.6538201800522453,0.4638648258386351,Incorrect
110,Handwritten Math Solutions,IMG_8526,Σ(n=1 to ∞) 1/n^2,5.0,,,,,,2024-01-01 01:49:00,,0.57,185,445,121,94,0.2581889992844498,0.9495129364423484,0.5020025017107982,0.3706372114604962,Correct
111,Multi-lingual Street Signs,IMG_4268,,,French,Speed Limit 50,禁止进入,,,2024-01-01 01:50:00,,0.77,187,85,59,91,0.7967076672869648,0.23040841337238005,0.8763572299704789,0.2856415312755364,Correct
112,Handwritten Math Solutions,IMG_9174,x^2 + y^2 = 25,5.0,,,,,,2024-01-01 01:51:00,,0.58,453,271,144,91,0.8375387618739285,0.41310660132670607,0.31672228029633476,0.1410587060866516,Correct
113,Multi-lingual Street Signs,IMG_9905,,,Chinese,No Entry,Alto,,,2024-01-01 01:52:00,,0.53,31,214,170,146,0.3577424058520151,0.6930949650249933,0.556614863591299,0.12645949877397855,Incorrect
114,Multi-lingual Street Signs,IMG_8505,,,Chinese,No Entry,禁止进入,,,2024-01-01 01:53:00,,0.62,152,452,148,74,0.06628456841901142,0.5441726389729409,0.6826115545776287,0.9592751137863167,Uncertain
115,Multi-lingual Street Signs,IMG_5823,,,Chinese,No Entry,禁止进入,,,2024-01-01 01:54:00,,0.78,58,97,112,139,0.5134771329318941,0.5717578117011334,0.44442207285185364,0.7107342021713284,Incorrect
116,Security Camera Anomalies,IMG_5014,,,,,,Unauthorized Access,0.16,2024-01-01 01:55:00,9.0,0.93,308,189,81,100,0.2549187655751669,0.40338376111344354,0.08976422335361067,0.05478532779612344,Uncertain
117,Security Camera Anomalies,IMG_7604,,,,,,Unauthorized Access,0.24,2024-01-01 01:56:00,12.0,0.81,436,2,65,99,0.5858067891922177,0.6924784538607422,0.1725246494841587,0.039787379379969456,Correct
118,Multi-lingual Street Signs,IMG_7259,,,English,No Entry,Alto,,,2024-01-01 01:57:00,,0.84,433,243,132,158,0.2096144771865165,0.7434861956762417,0.32408964700836174,0.33590294489560646,Correct
119,Multi-lingual Street Signs,IMG_1516,,,English,Yield,Alto,,,2024-01-01 01:58:00,,0.66,247,342,51,81,0.8113787698413679,0.16834728398534493,0.7235025445282292,0.7044127598927258,Correct
120,Security Camera Anomalies,IMG_1488,,,,,,Loitering,0.33,2024-01-01 01:59:00,30.0,0.78,21,213,113,179,0.7363637613611518,0.26920764876484526,0.0477358511767223,0.22256863835193863,Uncertain
121,Handwritten Math Solutions,IMG_4218,∫ x dx,2.0,,,,,,2024-01-01 02:00:00,,0.67,413,461,62,189,0.6771516517538201,0.1707007715396539,0.05494837479843506,0.5265358658187306,Uncertain
122,Security Camera Anomalies,IMG_9961,,,,,,Loitering,0.72,2024-01-01 02:01:00,49.0,0.68,459,350,57,85,0.20321826647667252,0.3894837228187198,0.030535876134840434,0.11285675084815816,Incorrect
123,Security Camera Anomalies,IMG_3717,,,,,,Loitering,0.51,2024-01-01 02:02:00,37.0,0.59,86,335,105,163,0.398889010470603,0.3366240227896885,0.5432665950280376,0.7074884387934137,Incorrect
124,Security Camera Anomalies,IMG_9487,,,,,,Normal,0.24,2024-01-01 02:03:00,15.0,0.85,159,4,190,100,0.25151116190424205,0.3311062482106255,0.9594827973044623,0.9253681479971904,Incorrect
125,Handwritten Math Solutions,IMG_2515,x^2 + y^2 = 25,8.0,,,,,,2024-01-01 02:04:00,,0.74,440,347,102,154,0.17897024589026922,0.9799952198381563,0.735647906435814,0.9009793275451552,Incorrect
126,Security Camera Anomalies,IMG_8034,,,,,,Loitering,0.25,2024-01-01 02:05:00,28.0,0.94,199,363,118,144,0.7725763777129653,0.7434205542577367,0.13659667872951375,0.36295164852158557,Uncertain
